Movies,Director,Genres,Cast,Writer,Production House,Budget,India Collection,Overseas Collection,Worldwide Collection,IMDB Rating,Rotten Tomatoes,Release Date,YouTube Reviews
Mard Ko Dard Nahi Hota,Vasan Bala,"Action, Comedy","Abhimanyu Dassani, Radhika Madan",Vasan Bala,RSVP Movies,₹12 crore,₹2.03 Cr,-,₹2.03 crore,7.3/10,94%,21-Mar-19,https://www.youtube.com/results?search_query=mard+ko+dard+nahi+hota+review
Junglee,"	Chuck Russell","Action, Adventure","Vidyut Jammwal, Asha Bhat, Pooja Sawant",Rohan Sippy,Junglee Pictures,₹22 crore,₹24.70 Cr,-,₹24.70 crore,5.5/10,40%,29-Mar-19,https://www.youtube.com/results?search_query=junglee+review
Romeo Akbar Walter,Robbie Garewal,"Action, Thriller","John Abraham, Mouni Roy, Jackie Shroff",Robbie Grewal,Viacom 18 Motion Pictures,₹35 crore App.,₹45.84 Cr,₹7.64 Cr,₹53.48 crore,6.6/10,15%,05-Apr-19,https://www.youtube.com/results?search_query=romeo+akbar+walter+review
The Tashkent Files,Vivek Agnihotri,"Drama, Hindi cinema","Mithun Chakraborty, Pankaj Tripathi",Vivek Agnihotri,SP CineCorp,₹4 crore,₹17.21 Cr,₹3.2 Cr,₹20.84 crore,8.1/10,83%,12-Apr-19,https://www.youtube.com/results?search_query=the+tashkent+files+review
Kalank,Abhishek Varman,"Romance, Drama","Madhuri Dixit, Alia Bhatt, Vrun Dhawan",Shibani Bathija,"Fox Star Studios, Dharma Productions",₹130 crore,₹95.65 Cr,₹50.66 Cr,₹146.31crore,3.6/10,39%,17-Apr-19,https://www.youtube.com/results?search_query=kalank+review
Blank,Behzad Khambata,"Action, Thriller","Sunny Deol, Ishita Dutta",Pranav Adarsh,Carnival Motion Pictures,₹15 crore,₹7.15 Cr,₹5 Cr,₹12.15 crore,6.1/10,60%,03-May-19,https://www.youtube.com/results?search_query=blank+review
Student of the Year 2,Punit Malhotra,"Comedy, Drama","Tiger Shroff, Tara Sutaria, Ananya Pandey",Arshad Sayed,Dharma Productions,₹65 crore,₹82.27 Cr,₹15.89 Cr,₹98.6 crore,2.2/10,6%,10-May-19,https://www.youtube.com/results?search_query=student+of+the+year+2+review
De De Pyaar De,Akiv Ali,"Comedy, Drama","Ajay Devgn, Tabu, Rakul Preet Singh",Luv Ranjan,T - Series,₹50 crore,₹123.38 Cr,₹19.66 Cr,₹143 crore,6.5/10,21%,16-May-19,https://www.youtube.com/results?search_query=de+de+pyar+de+review
India's Most Wanted,Rajkumar Gupta,"Thriller, Drama","Arjun Kapoor, Rajesh Sharma",Rajkumar Gupta,Fox Star Studios,₹37 crore,₹14.17 Cr,₹2.57 Cr,₹16.74 crore,4.7/10,22%,24-May-19,https://www.youtube.com/results?search_query=india%27s+most+wanted+review
PM Narendra Modi,Omung Kumar,Drama,Vivek Oberoi,Anirudh Chawla,Panorama Studios,₹8 crore,₹23.70 Cr,₹5.2 Cr,₹28.51 crore,3.0/10,51%,24-May-19,https://www.youtube.com/results?search_query=pm+narendra+modi+movie+review+
Bharat,Ali Abbas Zafar,"Action, Drama","Salman Khan, Katrina Kaif, Disha Patani",Ali Abbas Zafar,T - Series,₹100 crore,₹251.27 Cr,₹74.31 Cr,₹325.58 crore,4.7/10,32%,05-Jun-19,https://www.youtube.com/results?search_query=bharat+movie+review+
Khamoshi,Chakri Toleti," Horror, Mystery & thriller","Tamannah Bhatia, Prabhu Deva",Chakri Toleti,Pyx Films,₹10 crore,₹0.67 Cr,₹0.0 Cr,₹0.67 crore,3.4/10,-,14-Jun-19,https://www.youtube.com/results?search_query=khamoshi+2019+movie+review
Kabir Singh,Sandeep Vanga,"Romance, Drama","Shahid Kapoor, Kiara Advani",Sandeep Vanga,T - Series,₹60 crore,₹331.24 Cr,₹47.78 Cr,₹379 crore,7.0/10,23%,21-Jun-19,https://www.youtube.com/results?search_query=kabir+singh+review
Article 15,Anubhav Sinha,"Drama, Crime","Ayushmann Khurrana, Isha Talwar",Gaurav Solanki,ZEE Studios,₹30 crore,₹77.92 Cr,₹15.16 Cr,₹93.08 crore,8.1/10,90%,28-Jun-19,https://www.youtube.com/results?search_query=article+15+review
Super 30,Vikas Bahl,Drama,"Hrithik Roshan, Mrunal Thakur, Pankaj Tripathi",Sanjeev Dutta,Phantom Films,₹60 crore,₹172.87 Cr,₹36.06 Cr,₹208.93 crore,7.9/10,31%,12-Jul-19,https://www.youtube.com/results?search_query=super+30+review
Batla House,"	Nikhil Advani","Thriller, Drama","John Abraham, Mrunal Thakur",Ritesh Shah,T - Series,₹45 crore,₹102.61 Cr,₹10.77 Cr,₹113 crore,7.2/10,38%,15-Aug-19,https://www.youtube.com/results?search_query=batla+house+review
